Well_1,Well_2,Well_3,Well_4,Well_5,Well_6,Well_7,Well_8,Well_9,Well_10,Well_11,Well_12,Well_13,Well_14,Well_15,Well_16,Well_17,Well_18,Well_19,Well_20,Well_21,Well_22,Well_23,Well_24,Well_25,Well_26,Well_27,Well_28,Well_29,Well_30,Well_31,Well_32,Well_33,Well_34,Well_35,Well_36,Well_37,Well_38,Well_39,Well_40,Well_41,Well_42,Well_43,Well_44,Well_45,Well_46,Well_47,Well_48
130,175,225,269,317,360,409,455,127,174,221,269,315,363,409,456,126,173,221,265,313,361,409,455,131,172,222,268,315,361,411,457,128,176,222,268,314,364,410,456,126,174,219,270,316,359,408,456
137,132,135,133,131,132,133,132,179,178,179,180,184,181,181,182,226,225,226,227,227,227,229,228,272,272,274,275,274,273,273,277,319,320,320,319,320,322,320,319,365,366,363,365,367,365,367,368
38,40,36,40,41,43,42,42,42,43,42,41,39,42,42,41,43,42,42,45,44,41,41,42,39,43,42,43,42,44,40,40,40,41,41,40,43,39,40,41,42,41,44,43,39,46,43,42
34,39,36,42,42,43,40,40,38,42,41,43,39,43,39,38,37,39,37,38,37,38,38,37,39,39,40,42,37,40,38,38,40,39,39,40,39,38,39,40,40,41,45,43,39,44,42,41
