Well_1,Well_2,Well_3,Well_4,Well_5,Well_6,Well_7,Well_8,Well_9,Well_10,Well_11,Well_12,Well_13,Well_14,Well_15,Well_16,Well_17,Well_18,Well_19,Well_20,Well_21,Well_22,Well_23,Well_24,Well_25,Well_26,Well_27,Well_28,Well_29,Well_30,Well_31,Well_32,Well_33,Well_34,Well_35,Well_36,Well_37,Well_38,Well_39,Well_40,Well_41,Well_42,Well_43,Well_44,Well_45,Well_46,Well_47,Well_48
119,168,216,267,315,363,413,458,115,165,217,264,316,365,412,464,117,168,219,266,315,363,414,463,119,167,215,265,314,364,413,466,114,167,217,265,317,364,415,460,114,167,217,267,316,364,415,466
125,125,126,127,127,127,127,124,175,172,174,173,174,173,173,175,221,221,224,225,224,225,225,225,273,274,273,274,271,275,278,277,324,322,323,324,324,324,327,324,371,373,372,373,372,371,373,373
48,49,49,45,48,48,47,51,46,46,46,51,44,43,47,46,46,45,44,47,44,43,45,46,44,46,47,44,46,45,45,45,49,47,47,46,46,47,45,49,47,44,44,42,43,47,48,45
48,48,47,43,46,45,44,49,44,49,49,45,45,42,42,46,44,46,45,45,45,45,46,46,45,43,45,43,43,44,46,44,43,43,44,45,44,44,42,43,46,45,43,41,42,42,44,44
