Well_1,Well_2,Well_3,Well_4,Well_5,Well_6,Well_7,Well_8,Well_10,Well_11,Well_12,Well_13,Well_14,Well_9,Well_15,Well_16,Well_17,Well_18,Well_19,Well_20,Well_21,Well_22,Well_23,Well_24
100,170,240,310,380,450,100,170,310,380,450,100,170,240,240,310,380,450,100,170,240,310,380,450
130,130,130,130,130,130,200,200,200,200,200,270,270,200,270,270,270,270,340,340,340,340,340,340
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
